MIM	Gene	Phenotypes
607413	AD7CNTP	
612367	ALPQTL2	"{Alkaline phosphatase, plasma level of, QTL 2}, 612367 (2)"
606788	ANON1	"{Anorexia nervosa, susceptibility to, 1}, 606788 (2)"
605462	BCC1	"{Basal cell carcinoma, susceptibility to, 1}, 605462 (2)"
606928	BMND3	"[Bone mineral density QTL 3], 606928 (2)"
618815	"C1DUPp36.33, DUP1p36.33"	"Chromosome 1p36.33 duplication syndrome, ATAD3 gene cluster, 618815 (4), Autosomal dominant"
155600	"CMM, MLM, DNS"	"{Melanoma, cutaneous malignant, 1}, 155600 (2), Autosomal dominant"
115665	"CTRCT8, CCV"	"Cataract 8, multiple types, 115665 (2), Autosomal dominant"
607872	"DEL1p36, C1DELp36"	"Chromosome 1p36 deletion syndrome, distal, 607872 (4), Isolated cases"
619343	"DEL1p36, C1DELp36"	"Chromosome 1p36 deletion syndrome, proximal, 619343 (4), Autosomal dominant"
608995	DYX8	"{Dyslexia, susceptibility to, 8}, 608995 (2), Multifactorial, Autosomal dominant"
131190	"ERPL1, HLM2"	
605225	IBD7	"{Inflammatory bowel disease 7}, 605225 (2)"
612596	MS4	"{Multiple sclerosis, susceptibility to, 4}, 612596 (2)"
610320	MYP14	"Myopia 14, 610320 (2), Autosomal dominant"
605606	PSORS7	"{Psoriasis susceptibility 7}, 605606 (2)"
604008	PTPRZ2	
154280	"SAI1, MTS1, TFS1"	
618485	ZBTB40IT1	
616765	"SAMD11, MRS"	
610770	"NOC2L, NIR"	
619262	"KLHL17, AF"	
615921	"PERM1, C1orf170"	
608060	HES4	
147571	"ISG15, G1P2, IFI15, IMD38"	"Immunodeficiency 38, 616126 (3), Autosomal recessive"
103320	"AGRN, CMS8"	"Myasthenic syndrome, congenital, 8, with pre- and postsynaptic defects, 615120 (3), Autosomal recessive"
612091	"MIR200B, MIRN200B"	
612090	"MIR200A, MIRN200A"	
612094	"MIR429, MIRN429"	
603905	"TNFRSF18, AITR, GITR"	
600315	"TNFRSF4, TXGP1L, OX40, ACT35, IMD16"	"?Immunodeficiency 16, 615593 (3), Autosomal recessive"
614282	"SDF4, CAB45"	
615291	"B3GALT6, SEMDJL1, EDSSPD2, ALGAZ"	"Ehlers-Danlos syndrome, spondylodysplastic type, 2, 615349 (3), Autosomal recessive; Spondyloepimetaphyseal dysplasia with joint laxity, type 1, with or without fractures, 271640 (3), Autosomal recessive; Al-Gazali syndrome, 609465 (3), Autosomal recessive"
616593	"FAM132A, C1QDC2, C1QTNF12"	
619756	"UBE2J2, NCUBE2, UBC6"	
601328	SCNN1D	
611354	"CPSF3L, INTS11, RC68"	
615467	"GLTPD1, CPTP"	
605865	"TAS1R3, T1R3"	
601365	"DVL1, DRS2"	"Robinow syndrome, autosomal dominant 2, 616331 (3), Autosomal dominant"
617293	"MXRA8, ASP3"	
609183	"AURKAIP1, AKIP, AIP"	
613482	CCNL2	
611833	MRPL20	
611901	"VWA1, WARP, HMNMYO"	"Neuropathy, hereditary motor, with myopathic features, 619216 (3), Autosomal recessive"
617227	ATAD3C	
612317	"ATAD3B, TOB3, KIAA1273"	
612316	"ATAD3A, HAYOS, PHRINL"	"Harel-Yoon syndrome, 617183 (3), Autosomal recessive, Autosomal dominant; Pontocerebellar hypoplasia, hypotonia, and respiratory insufficiency syndrome, neonatal lethal, 618810 (3), Autosomal recessive"
616101	"TMEM240, C1orf70, SCA21"	"Spinocerebellar ataxia 21, 607454 (3), Autosomal dominant"
617680	SSU72	
611141	MIB2	
603321	"MMP23B, MMP22"	
176873	"CDK11B, CDC2L1, P58, CDK11"	
619315	"SLC35E2B, KIAA0447"	
603320	"MMP23A, MMP21, MIFR"	
116951	"CDK11A, CDC2L2"	
611616	NADK	
139380	"GNB1, MRD42, MDS"	"Myelodysplastic syndrome, somatic, 614286 (3); Leukemia, acute lymphoblastic, somatic, 613065 (3); Intellectual developmental disorder, autosomal dominant 42, 616973 (3), Autosomal dominant"
610171	"CALML6, CAGLP"	
137163	"GABRD, GEFSP5, EIG10, EJM7"	"{Epilepsy, idiopathic generalized, 10}, 613060 (3), Autosomal dominant; {Epilepsy, juvenile myoclonic, susceptibility to}, 613060 (3), Autosomal dominant; {Generalized epilepsy with febrile seizures plus, type 5, susceptibility to}, 613060 (3), Autosomal dominant"
176982	"PRKCZ, PKC2"	
615183	"C1orf86, FAAP20"	
164780	"SKI, SGS"	"Shprintzen-Goldberg syndrome, 182212 (3), Autosomal dominant"
607671	DYT13	"Dystonia 13, torsion, 607671 (2), Autosomal dominant"
606242	KONDS	"Kondoh syndrome, 606242 (2), Autosomal recessive"
602859	"PEX10, NALD, PBD6A, PBD6B"	"Peroxisome biogenesis disorder 6A (Zellweger), 614870 (3), Autosomal recessive; Peroxisome biogenesis disorder 6B, 614871 (3), Autosomal recessive"
612836	"PLCH2, PLCL4"	
606162	"PANK4, CTRCT49"	"?Cataract 49, 619593 (3), Autosomal dominant"
607348	HES5	
602746	"TNFRSF14, HVEM, TR2"	
618104	"MMEL1, NEPII, NEP2, NL1, SEP"	
608535	"ACTRT2, ARPT2, ARPM2"	
605557	"PRDM16, MEL1, LVNC8, CMD1LL"	"Left ventricular noncompaction 8, 615373 (3), Autosomal dominant; Cardiomyopathy, dilated, 1LL, 615373 (3), Autosomal dominant"
618871	ARHGEF16	
604266	"MEGF6, EGFL3"	
615148	MIR551A	
611460	"TPRG1L, FAM79A"	
606040	WDR8	
601990	"TP73, CILD47"	"Ciliary dyskinesia, primary, 47, and lissencephaly, 619466 (3), Autosomal recessive"
615242	"SMIM1, VEL"	"[Blood group, Vel system], 615264 (3), Autosomal recessive"
619154	"LRRC47, KIAA1185"	
616690	"CEP104, GLYBP, KIAA0562, JBTS25"	"Joubert syndrome 25, 616781 (3), Autosomal recessive"
601883	"DFFB, CAD, DFF2"	
610972	"AJAP1, SHREW1"	
614414	DFNB96	"Deafness, autosomal recessive 96, 614414 (2), Autosomal recessive"
607215	"NPHP4, SLSN4"	"Senior-Loken syndrome 4, 606996 (3), Autosomal recessive; Nephronophthisis 4, 606966 (3), Autosomal recessive"
601142	"KCNAB2, KCNA2B"	
610771	"CHD5, PMNDS"	"Parenti-Mignot neurodevelopmental syndrome, 619873 (3), Autosomal dominant"
180474	"RPL22, EAP"	
616923	"RNF207, C1orf188"	
605851	ICMT	
609971	HES3	
614269	GPR153	
602587	"ACOT7, BACH, LACH"	
609970	HES2	
606351	"ESPN, USH1M"	"Deafness, neurosensory, without vestibular involvement, autosomal dominant, 609006 (3), Autosomal recessive; Deafness, autosomal recessive 36, 609006 (3), Autosomal recessive; ?Usher syndrome, type 1M, 618632 (3), Autosomal recessive"
603366	"TNFRSF25, TNFRSF12, DR3, LARD"	
611101	"PLEKHG5, KIAA0720, DSMA4, CMTRIC"	"Spinal muscular atrophy, distal, autosomal recessive, 4, 611067 (3), Autosomal recessive; Charcot-Marie-Tooth disease, recessive intermediate C, 615376 (3), Autosomal recessive"
606225	"TAS1R1, T1R1"	
165270	"ZBTB48, HKR3"	
616262	"KLHL21, KIAA0469"	
612532	THAP3	
614827	DNAJC11	
611501	"CAMTA1, KIAA0833, CECBA"	"Cerebellar dysfunction with variable cognitive and behavioral abnormalities, 614756 (3), Autosomal dominant"
600975	GLC3B	"Glaucoma 3, primary infantile, B, 600975 (2), Autosomal recessive"
608543	SCZD12	"{Schizophrenia 12}, 181500 (2), Autosomal dominant"
603657	VAMP3	
603427	"PER3, FASPS3"	"?Advanced sleep phase syndrome, familial, 3, 616882 (3), Autosomal dominant"
604097	UTS2	
602250	"TNFRSF9, ILA, CD137"	
602533	"DJ1, PARK7"	"Parkinson disease 7, autosomal recessive early-onset, 606324 (3), Autosomal recessive"
608069	"MIG6, RALT"	
